id_group, bary_x, bary_y,bary_convex_x,bary_convex_y, speed_bary_x, speed_bary_y, popu_group, nb_group, plus-proche, time
95,768.86,260.74973,768.86,260.74973,-1.8363897,-0.7922582,1,100,68,2
96,368.3376,161.02315,368.3376,161.02315,1.8400643,-0.6356284,1,100,30,2
97,716.9411,833.5952,716.9411,833.5952,-1.4358845,-1.2278765,2,100,25,2
98,444.5755,696.24756,444.5755,696.24756,-1.817502,0.5839946,1,100,27,2
99,136.40147,99.02613,136.40147,99.02613,0.17239505,1.9925562,1,100,80,2
100,647.2364,237.86952,647.2364,237.86952,1.4853594,1.3392936,1,100,68,2
101,68.00418,403.1397,68.00418,403.1397,-0.27383575,-1.6281598,2,100,13,2
102,324.4034,526.2873,324.4034,526.2873,-1.3959937,-1.1796677,2,100,79,2
103,320.3886,283.2304,320.3886,283.2304,-1.4738979,-1.281539,1,100,22,2
104,741.58093,122.0912,746.5488,121.150375,0.8587867,-1.5832524,4,100,34,2
105,439.3645,844.1004,439.3645,844.1004,1.1918823,0.67749405,4,100,7,2
106,74.90444,838.24255,74.904434,838.24255,-1.6244416,0.65873194,4,100,94,2
1,182.42548,674.2163,182.42548,674.2163,-1.847472,0.47735578,1,99,60,3
2,44.905754,729.2196,44.905754,729.2196,-0.15526241,1.7005606,2,99,91,3
3,308.61636,135.24594,308.61636,135.24594,-0.34205344,-1.9705328,1,99,96,3
4,551.2598,603.5395,551.2598,603.5395,-1.6101235,0.8130892,1,99,35,3
5,475.75653,468.17297,475.75653,468.17297,1.5606012,-0.7845284,3,99,53,3
6,750.86206,445.5854,750.86206,445.5854,1.6771808,-0.8906096,2,99,92,3
7,497.7438,738.8502,497.7438,738.8502,-0.016191281,-1.9999344,1,99,85,3
8,432.38953,555.6289,432.38953,555.6289,1.1070995,1.5793606,2,99,79,3
9,98.86931,294.185,98.86931,294.185,-0.34588432,-1.8517427,2,99,49,3
10,10.829441,594.0835,10.829441,594.0835,-1.3579807,-0.8230649,2,99,52,3
11,897.9757,834.4107,897.9757,834.4107,1.78578,-0.6595433,1,99,69,3
12,228.32167,103.09659,228.32167,103.09659,-1.1665612,-1.6245414,1,99,38,3
13,36.154858,434.4769,39.140377,440.92514,-0.27186352,-0.07221228,7,99,52,3
16,452.10535,342.24817,452.10538,342.24817,-1.4050543,-0.75811315,3,99,53,3
17,199.51352,886.3277,199.51352,886.3277,-0.5942327,0.40985385,2,99,48,3
18,480.92313,245.98586,480.92313,245.98586,1.2873406,-1.5306058,1,99,28,3
19,376.80563,730.907,376.8056,730.907,-1.6188133,-0.6238636,4,99,51,3
20,567.05774,451.34753,567.05774,451.34753,1.2339659,1.573953,1,99,83,3
22,365.7196,300.90503,365.7196,300.90503,-1.9920269,0.1784056,1,99,103,3
23,657.41095,859.265,657.41095,859.265,-1.6864898,0.6709985,1,99,25,3
24,730.1952,352.09418,730.1952,352.09418,-1.3813801,1.3565342,2,99,67,3
25,716.6008,850.48047,716.6008,850.48047,-0.045674086,1.6555164,1,99,97,3
26,608.8605,18.531628,608.8605,18.531628,0.7251917,-1.6333995,2,99,55,3
27,446.12195,688.73865,446.12195,688.73865,1.7391355,-0.044801354,2,99,7,3
28,380.54593,242.54312,380.54593,242.54312,1.7035167,-0.3422578,1,99,41,3
29,226.37411,201.98245,226.37411,201.98245,1.9638985,0.37828884,1,99,81,3
30,383.64825,171.30124,383.64825,171.30124,-1.3107216,1.3190231,2,99,96,3
31,238.53433,422.81476,238.53433,422.81476,1.7704515,0.6155926,1,99,82,3
32,36.8011,238.55167,36.8011,238.55167,-1.2585456,-1.2105976,2,99,49,3
33,323.64587,796.69666,323.64587,796.69666,-0.49699166,1.6578649,1,99,87,3
34,683.7339,128.23383,683.7339,128.23383,-1.6145175,-0.6058002,1,99,43,3
35,526.0895,612.5416,526.0895,612.5416,1.1926442,1.3988571,2,99,4,3
36,505.37488,77.604965,505.37488,77.604965,1.1989472,-1.3557484,1,99,47,3
37,754.67914,679.5921,754.67914,679.5921,1.9157865,0.27891126,2,99,72,3
38,218.71692,36.122055,218.71692,36.122055,-1.5250714,1.1895107,1,99,12,3
39,886.2896,213.27975,886.2896,213.27975,-1.3222297,0.20814776,2,99,86,3
40,445.3213,58.024605,445.3213,58.024605,1.7971761,0.74707353,1,99,36,3
41,363.32697,244.5625,363.32697,244.5625,0.0334336,-1.8517933,2,99,28,3
43,664.0403,137.51936,664.0403,137.51936,-0.75784427,1.607882,1,99,34,3
45,818.8937,553.5209,818.8937,553.5209,0.7347825,-1.6876918,1,99,65,3
46,140.9841,533.50323,140.9841,533.50323,-0.089589775,-1.783776,3,99,52,3
47,507.095,117.914604,507.095,117.914604,-0.85725915,1.5885382,1,99,36,3
48,245.94492,799.93866,245.94492,799.93866,0.40508243,-1.814573,2,99,87,3
